timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,applied_force,d_applied_force,contact_force,task,img,wrist_img
1726689864.1793134,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,51.68620973269478,-0.44476248594560275,2.943,0.0,0.0,grasping yellow block,1_1726689864.1798415.jpeg,1_1726689864.2216506.jpeg
1726689864.285282,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,51.241447246749175,-1.3386524562802151,2.943,0.0,0.046645028571428576,grasping yellow block,1_1726689864.2671387.jpeg,1_1726689864.30918.jpeg
1726689864.4197419,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,49.90279479046896,-1.3401822642366383,2.943,0.0,0.09080654382716048,grasping yellow block,1_1726689864.4433339.jpeg,1_1726689864.3966286.jpeg
1726689864.5696135,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,48.56261252623232,-0.22282078484594336,2.943,0.0,0.058773650000000004,grasping yellow block,1_1726689864.5328968.jpeg,1_1726689864.5754583.jpeg
1726689864.7030315,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,48.33979174138638,-1.1223603204756643,2.943,0.0,0.04326038580246914,grasping yellow block,1_1726689864.7097075.jpeg,1_1726689864.6636531.jpeg
1726689864.850652,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,47.217431420910714,-1.3520569517501926,2.943,0.0,0.09013869599999999,grasping yellow block,1_1726689864.8864768.jpeg,1_1726689864.8408208.jpeg
1726689865.015125,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,45.86537446916052,-1.1251787660568269,2.943,0.0,0.09496780165289256,grasping yellow block,1_1726689864.9728484.jpeg,1_1726689865.014463.jpeg
1726689865.1643863,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,44.740195703103694,-0.6811565477459709,2.943,0.10000000000000009,0.1328124765,grasping yellow block,1_1726689865.147.jpeg,1_1726689865.1883025.jpeg
1726689865.2837155,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,44.05903915535772,-1.1299463839028476,3.043,0.0,0.03360825,grasping yellow block,1_1726689865.3230298.jpeg,1_1726689865.2762825.jpeg
1726689865.4319906,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,42.929092771454876,-0.453825057544023,3.043,0.10000000000000009,0.12879125,grasping yellow block,1_1726689865.4118803.jpeg,1_1726689865.4559567.jpeg
1726689865.5798712,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,42.47526771391085,-1.1386174416491315,3.1430000000000002,0.0,0.012221426,grasping yellow block,1_1726689865.5959601.jpeg,1_1726689865.548128.jpeg
1726689865.7426827,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,41.33665027226172,-1.5922314342830788,3.1430000000000002,0.0,0.04148017231404959,grasping yellow block,1_1726689865.779083.jpeg,1_1726689865.7314878.jpeg
1726689865.9057298,0.941564,-1.367838,1.886396,-2.435939,-1.288736,-0.531267,-0.210888,-0.516602,0.268407,-2.703409540583161,0.04931830042698182,3.1104150700078095,0.0,0.0,0.0,0.0,0.0,0.0,39.74441883797864,-0.9130057095742217,3.1430000000000002,0.0,0.08360409917355371,grasping yellow block,1_1726689865.8708277.jpeg,1_1726689865.9127705.jpeg
