robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.596,0.15,0.0,-13.962,0.099
92.614,0.249,0.043,-15.068,0.071
78.462,0.319,0.062,-12.187,0.098
66.322,0.417,0.065,-14.15,0.084
53.014,0.502,0.067,-13.952,0.042
39.518,0.543,0.065,-10.491,0.198
29.651,0.741,0.052,-6.735,0.0
23.895,0.741,0.05,-4.412,0.184
19.987,0.925,0.07,-4.618,0.013
16.321,0.939,0.099,-3.419,0.065
13.584,1.004,0.025,-0.46,0.024
13.584,1.029,0.0,-2.693,0.0
11.993,1.029,0.0,0.0,0.035
11.993,1.064,0.0,-1.901,0.071
11.087,1.135,0.0,-0.845,0.0
