robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.596,0.15,0.0,-4.008,0.0
101.975,0.15,0.0,-3.303,0.0
98.606,0.15,0.0,-2.816,0.0
96.146,0.15,0.0,-3.833,0.0
92.297,0.15,0.0,-4.487,0.039
88.009,0.189,0.0,-4.682,0.0
83.635,0.189,0.0,-5.826,0.0
78.082,0.189,0.0,-3.93,0.041
74.604,0.23,0.0,-8.083,0.0
67.15,0.23,0.0,-6.69,0.0
61.268,0.23,0.0,-4.774,0.0
60.198,0.23,0.029,-4.398,0.0
59.983,0.23,0.149,-3.305,0.0
59.983,0.23,0.151,-1.765,0.0
59.983,0.23,0.148,-3.786,0.0
