robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-16.347,0.032
95.098,0.182,0.0,-15.066,0.033
81.618,0.215,0.0,-14.399,0.0
69.597,0.215,0.0,-11.111,0.0
59.769,0.215,0.0,-9.293,0.157
50.576,0.372,0.0,-7.915,0.053
42.932,0.425,0.0,-4.716,0.063
38.376,0.488,0.0,-3.991,0.078
34.481,0.566,0.0,-15.997,0.087
18.839,0.653,0.0,-7.766,0.0
11.993,0.653,0.0,0.0,0.077
11.993,0.731,0.079,-12.184,0.0
7.704,0.731,0.155,0.0,0.0
8.601,0.731,0.227,0.0,0.0
8.601,0.731,0.0,0.0,0.434
