robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-7.546,0.029
99.303,0.179,0.0,-8.28,0.178
90.352,0.357,0.0,-5.266,0.0
85.413,0.357,0.0,-6.288,0.0
80.154,0.357,0.0,-3.997,0.058
76.741,0.415,0.0,-5.28,0.0
71.829,0.415,0.061,-6.429,0.0
65.697,0.415,0.098,-2.92,0.0
63.39,0.415,0.056,0.0,1.78
63.39,2.195,0.0,0.0,0.0
63.39,2.195,0.0,-0.422,0.186
63.39,2.991,0.0,-3.573,0.0
60.198,2.991,0.04,-7.504,0.112
53.675,3.103,0.152,-4.639,0.0
51.021,3.103,0.077,-4.412,0.0
