robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-5.099,0.0
101.452,0.15,0.0,-5.391,0.0
96.148,0.15,0.0,-0.908,0.0
95.549,0.15,0.0,-2.278,0.0
93.869,0.15,0.0,-1.413,0.113
92.773,0.263,0.0,-1.122,0.146
81.267,0.409,0.082,-4.463,0.275
77.317,0.683,0.107,-1.702,0.0
76.548,0.683,0.04,-1.545,0.0
75.774,0.683,0.024,-3.482,0.038
73.025,0.721,0.08,-1.657,0.07
71.63,0.792,0.047,-1.358,0.0
71.629,0.792,0.01,-13.83,0.0
63.174,0.792,0.124,-17.292,0.0
62.961,0.792,0.349,-11.429,0.0
