robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-15.909,0.356
89.691,0.506,0.0,-17.756,0.095
71.429,0.601,0.0,-17.213,0.27
54.116,0.871,0.0,-14.57,0.0
42.477,0.871,0.0,-13.125,0.052
40.882,0.922,0.0,-7.375,0.0
40.882,0.922,0.0,-10.701,0.0
40.882,0.922,0.0,-4.157,0.0
40.882,0.922,0.0,-5.602,0.0
40.882,0.922,0.0,-5.272,0.029
40.882,0.952,0.0,-4.168,0.0
40.882,0.952,0.0,-4.418,0.0
40.882,0.952,0.0,-2.816,0.0
41.11,0.952,0.0,-2.163,0.066
41.11,1.017,0.0,-1.01,0.038
