robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-8.915,0.33
96.444,0.48,0.0,-10.975,0.088
85.939,0.568,0.0,-11.982,0.0
73.62,0.568,0.0,-10.384,0.0
63.39,0.568,0.0,-9.554,0.126
53.895,0.694,0.0,-8.675,0.22
45.871,0.914,0.115,-6.905,0.055
42.478,0.969,0.099,-8.127,0.059
42.023,1.028,0.205,-4.943,0.0
41.795,1.028,0.081,-3.425,0.112
41.795,1.14,0.533,-3.378,0.162
41.795,1.302,0.615,-2.461,0.03
41.795,1.332,0.308,-1.249,0.02
42.251,1.352,0.298,-2.243,0.002
42.251,1.354,0.128,-2.291,0.087
