robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.596,0.15,0.0,-11.221,0.0
98.032,0.15,0.0,-10.396,0.0
87.669,0.15,0.0,-8.98,0.097
79.216,0.247,0.0,-6.011,0.0
72.629,0.247,0.0,-6.861,0.389
65.698,0.636,0.0,-4.84,0.096
61.908,0.732,0.119,-3.03,0.0
58.909,0.732,0.016,-8.695,0.0
50.798,0.732,0.0,-5.282,0.0
46.322,0.734,0.0,-6.956,0.0
40.202,0.734,0.099,-0.621,0.049
39.974,1.099,0.0,-17.048,0.436
34.481,1.535,0.175,-7.397,0.0
34.251,1.535,0.412,-1.44,0.0
34.251,1.535,0.485,-7.471,0.429
