robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,0.0,0.18
104.335,0.33,0.0,-9.652,0.0
95.999,0.33,0.0,-24.681,0.0
75.953,0.33,0.0,-16.722,0.052
58.477,0.382,0.0,-7.724,0.276
50.798,0.657,0.0,-9.231,0.255
42.25,0.912,0.072,-1.512,0.163
41.795,1.075,0.006,-1.335,0.023
41.795,1.098,0.0,-4.098,0.316
38.605,1.414,0.04,-4.191,0.0
35.858,1.414,0.074,-1.165,0.126
35.858,1.54,0.079,-1.74,0.0
35.858,1.54,0.02,-1.679,0.072
35.858,1.612,0.079,-2.488,0.0
34.71,1.612,0.079,0.0,0.0
