robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-9.765,0.168
98.032,0.318,0.0,-10.899,0.0
86.982,0.318,0.0,-13.482,0.025
73.423,0.343,0.0,-11.832,0.0
62.544,0.343,0.0,-9.849,0.0
53.235,0.343,0.0,-9.399,0.0
44.291,0.343,0.0,-7.096,0.027
37.69,0.371,0.0,-7.734,0.007
30.572,0.378,0.0,-11.115,0.627
19.757,1.005,0.0,-8.273,0.0
11.993,1.005,0.0,-9.373,0.0
7.253,1.005,0.108,-5.411,0.0
6.804,1.005,0.281,-3.561,0.0
6.804,1.005,0.415,-1.426,0.0
7.029,1.005,0.129,-2.125,0.0
