robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-11.502,0.0
98.181,0.15,0.0,-11.038,0.147
88.337,0.297,0.0,-8.718,0.015
80.897,0.312,0.0,-7.086,0.234
73.423,0.545,0.0,-3.802,0.129
70.219,0.674,0.0,-4.087,0.0
67.15,0.674,0.138,-0.032,0.0
67.15,0.674,0.021,-4.729,0.0
64.653,0.674,0.083,-6.784,0.0
64.233,0.674,0.212,0.0,0.0
64.653,0.674,0.33,0.0,0.578
64.653,1.252,,-4.303,0.0
63.391,1.252,0.076,0.0,0.208
63.813,1.46,0.554,0.0,0.0
63.813,1.46,,0.0,0.0
