robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-10.488,0.041
98.177,0.191,0.0,-9.543,0.109
88.35,0.3,0.0,-8.206,0.063
80.154,0.363,0.0,-5.524,0.093
74.8,0.456,0.0,-3.72,0.128
71.228,0.584,0.0,-3.126,0.0
68.793,0.584,0.06,-0.614,0.152
68.793,0.737,0.0,-3.365,0.126
65.697,0.862,0.081,-9.491,0.282
56.959,1.145,0.093,-7.746,0.0
50.353,1.145,0.122,-8.044,0.271
43.838,1.416,0.143,-5.328,0.0
39.746,1.416,0.181,-7.217,0.0
34.022,1.416,0.175,-3.825,0.0
31.723,1.416,0.089,-6.525,0.176
