robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-3.554,0.083
102.735,0.233,0.0,-2.596,0.016
99.991,0.249,0.0,-2.158,0.111
98.464,0.361,0.0,-2.853,0.02
95.85,0.381,0.0,-1.442,0.06
94.488,0.44,0.0,-2.167,0.0
93.089,0.44,0.015,-1.38,0.211
92.454,0.651,0.0,-0.647,0.044
92.454,0.695,0.0,-11.123,0.305
81.817,1.0,0.073,-8.347,0.0
74.014,1.0,0.059,-8.609,0.026
66.322,1.026,0.095,-7.969,0.0
62.968,1.026,0.14,-6.984,0.0
62.544,1.026,0.271,-4.926,0.112
62.119,1.139,0.293,-3.673,0.1
