robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-10.431,0.082
95.55,0.232,0.037,-12.766,0.287
83.273,0.519,0.064,-9.397,0.182
74.211,0.701,0.099,-8.973,0.006
65.489,0.708,0.092,-10.188,0.0
56.087,0.708,0.064,-9.938,0.078
46.771,0.786,0.089,-7.159,0.0
40.202,0.786,0.054,-5.337,0.305
36.087,1.091,0.02,-3.628,0.096
35.17,1.187,0.121,-11.159,0.345
34.71,1.532,0.626,-7.149,0.0
34.71,1.532,0.776,-6.623,0.122
34.481,1.654,0.618,-2.707,0.179
34.481,1.833,0.602,0.0,0.0
35.17,1.833,0.527,-3.328,0.0
