robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-20.956,0.72
84.706,0.87,0.0,-19.163,0.0
65.906,0.87,0.0,-10.774,0.0
61.907,0.87,0.0,-8.259,0.0
61.693,0.87,0.0,-8.67,0.074
61.907,0.945,0.0,-8.257,0.0
61.907,0.945,0.149,-7.601,0.0
61.693,0.945,0.434,-4.927,0.0
61.907,0.945,0.161,-16.993,0.112
61.693,1.057,0.501,-16.0,0.061
61.693,1.178,0.602,-15.184,0.0
61.693,1.178,0.412,-12.925,0.021
61.479,1.2,0.216,-13.387,0.069
61.479,1.268,0.564,-10.539,0.152
