robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-2.713,0.079
103.238,0.229,0.0,-1.054,0.0
102.486,0.229,0.0,-3.564,0.0
99.165,0.229,0.0,-5.399,0.0
94.334,0.229,0.0,-3.741,0.0
90.844,0.229,0.0,-6.79,0.0
84.706,0.229,0.0,-6.147,0.318
78.462,0.547,0.0,-5.212,0.039
73.62,0.586,0.0,-7.023,0.084
66.736,0.67,0.0,-8.097,0.044
58.693,0.714,0.0,-10.353,0.0
48.79,0.714,0.104,-8.467,0.02
41.113,0.734,0.048,-7.454,0.244
34.481,0.977,0.13,-5.267,0.0
29.421,0.977,0.137,-5.79,0.367
