robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-4.478,0.12
101.712,0.27,0.0,-3.703,0.275
97.755,0.545,0.0,-4.62,0.07
93.246,0.615,0.0,-3.805,0.0
89.359,0.615,0.0,-4.565,0.123
85.237,0.738,0.0,-3.086,0.0
82.731,0.738,0.165,-1.938,0.114
81.267,0.852,0.04,-2.377,0.094
79.405,0.947,0.034,-13.388,0.034
67.15,0.981,0.045,-10.021,0.145
63.813,1.126,0.178,-7.739,0.0
63.179,1.126,0.23,-6.613,0.038
63.179,1.164,0.468,-3.721,0.043
62.754,1.207,0.441,-2.671,0.0
62.332,1.207,0.32,-2.856,0.12
