robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-10.797,0.189
96.439,0.339,0.0,-6.333,0.264
88.854,0.603,0.0,-7.09,0.364
82.001,0.967,0.0,-10.82,0.081
71.027,1.048,0.0,-8.506,0.084
62.757,1.132,0.0,-8.559,0.124
54.554,1.256,0.084,-7.249,0.0
47.895,1.256,0.106,-9.53,0.0
39.518,1.256,0.055,-14.51,0.354
33.791,1.61,0.145,-10.114,0.0
33.332,1.61,0.695,-9.56,0.0
33.332,1.61,0.487,-7.142,0.0
33.332,1.61,0.89,-7.189,0.019
33.332,1.629,0.81,-7.32,0.005
33.562,1.634,0.468,-3.943,0.0
