robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-17.415,0.121
95.249,0.271,0.0,-12.695,0.226
81.635,0.497,0.0,-10.838,0.018
70.825,0.515,0.0,-6.697,0.27
64.443,0.785,0.0,-6.352,0.146
58.477,0.931,0.0,-4.667,0.059
54.335,0.99,0.051,-3.433,0.218
51.241,1.207,0.01,-3.749,0.068
48.119,1.276,0.064,-7.858,0.0
42.932,1.276,0.132,-7.357,0.0
42.022,1.276,0.386,-7.631,0.131
41.794,1.406,0.153,-5.462,0.0
41.794,1.406,0.708,-5.478,0.0
41.794,1.406,0.402,-7.29,0.037
41.794,1.443,0.162,-6.013,0.0
