robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.596,0.15,0.0,-7.0,0.008
98.887,0.158,0.051,-5.4,0.0
93.869,0.158,0.062,-4.222,0.088
89.856,0.245,0.08,-4.706,0.104
85.939,0.349,0.059,-4.109,0.0
82.183,0.349,0.071,-6.895,0.109
75.774,0.458,0.071,-4.476,0.109
71.829,0.567,0.031,-6.64,0.018
65.906,0.585,0.067,-7.717,0.059
58.693,0.644,0.105,-4.152,0.049
55.213,0.693,0.049,-3.617,0.175
52.35,0.868,0.11,-4.775,0.0
47.895,0.868,0.052,-1.742,0.001
47.446,0.869,0.0,-2.607,0.017
45.195,0.886,0.017,-2.16,0.064
