robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,0.0,0.0
104.454,0.15,0.0,-1.035,0.349
103.61,0.499,0.0,-15.271,0.428
88.18,0.927,0.0,0.0,0.0
88.18,0.927,0.0,0.0,0.359
88.18,1.286,0.0,0.0,0.34
88.18,1.626,0.0,0.0,0.257
88.18,1.883,0.0,0.0,0.0
88.18,1.883,0.0,-22.023,0.16
65.906,2.042,0.0,-18.606,0.733
47.446,2.776,0.0,-15.784,0.0
40.658,2.776,0.177,-3.674,0.152
40.658,2.928,1.351,-17.663,0.0
40.658,2.928,1.023,-6.358,0.0
40.43,2.928,1.391,-2.426,0.0
