robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-7.066,0.0
99.835,0.15,0.0,-2.607,0.0
96.739,0.15,0.0,-5.684,0.21
91.17,0.36,0.0,-4.886,0.697
86.635,1.057,0.0,0.0,0.577
86.635,1.633,0.0,0.0,0.0
86.635,1.633,0.0,-2.229,0.0
84.349,1.633,0.0,0.0,0.109
84.349,1.742,0.0,-13.431,1.51
70.825,3.253,0.0,-22.124,0.0
56.699,3.253,0.0,-4.521,0.0
57.582,3.253,0.882,0.0,0.0
58.909,3.253,0.048,-6.345,1.395
56.304,4.648,0.169,0.0,1.03
57.394,5.678,0.139,-18.154,0.612
