robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-5.346,0.0
101.184,0.15,0.0,-4.978,0.073
96.0,0.223,0.0,-2.707,0.021
93.869,0.245,0.0,-3.332,0.049
90.844,0.294,0.0,-3.358,0.0
87.838,0.294,0.0,-3.315,0.0
85.237,0.294,0.057,-2.846,0.0
82.913,0.294,0.052,-5.073,0.011
78.462,0.305,0.077,-6.134,0.141
73.025,0.445,0.089,-5.901,0.002
67.973,0.447,0.107,-5.047,0.0
65.49,0.447,0.135,-4.553,0.0
65.072,0.447,0.179,-3.079,0.007
65.072,0.454,0.196,-2.794,0.026
64.862,0.481,0.146,-2.115,0.0
