robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-12.564,0.139
97.611,0.289,0.0,-6.156,0.035
91.007,0.324,0.0,-8.314,0.0
83.454,0.324,0.0,-2.719,0.261
80.712,0.585,0.0,-0.939,0.153
80.339,0.737,0.0,-3.512,0.092
77.317,0.829,0.058,-4.423,0.0
73.421,0.829,0.054,-1.114,0.283
73.222,1.112,0.0,-9.749,0.153
64.443,1.265,0.075,-8.597,0.036
56.742,1.301,0.088,-7.055,0.006
50.576,1.307,0.105,-6.291,0.017
45.195,1.325,0.081,-6.876,0.0
39.062,1.325,0.084,-5.635,0.088
35.17,1.413,0.086,-5.294,0.063
