robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.596,0.15,0.0,-12.066,0.244
93.558,0.394,0.0,-12.089,0.031
81.635,0.425,0.0,-9.957,0.107
71.83,0.532,0.0,-8.312,0.179
64.233,0.711,0.0,-7.262,0.0
59.124,0.711,0.0,-6.741,0.204
58.476,0.915,0.225,-6.312,0.003
58.475,0.918,0.468,-6.51,0.018
58.259,0.935,0.419,-8.252,0.001
58.259,0.936,0.442,-2.235,0.485
58.259,1.421,0.204,-0.75,0.375
59.124,1.796,0.425,-3.844,0.124
58.044,1.92,0.01,-5.86,0.095
58.044,2.015,0.986,-6.437,0.449
57.392,2.463,0.679,-3.309,0.0
