robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-30.314,0.089
88.514,0.239,0.0,-26.588,0.0
68.132,0.239,0.0,-27.533,0.0
46.274,0.239,0.0,-19.262,0.202
32.175,0.441,0.0,-15.129,0.172
31.484,0.613,0.0,-21.403,0.028
31.484,0.641,0.224,-10.276,0.0
31.254,0.641,0.251,-9.424,0.0
31.254,0.641,0.287,-16.644,0.277
31.254,0.919,0.436,-8.574,0.213
31.254,1.132,0.35,-3.36,0.221
31.261,1.353,0.154,-3.937,0.007
31.261,1.36,0.346,-6.226,0.0
30.801,1.36,0.167,-7.09,0.198
30.801,1.558,0.451,-4.234,0.182
