robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.368,0.15,0.0,-14.965,0.285
90.68,0.435,0.0,-14.4,0.257
76.548,0.692,0.0,-14.573,0.0
66.943,0.692,0.0,-13.879,0.072
66.736,0.764,0.0,-13.929,0.0
66.528,0.764,0.0,-12.46,0.108
66.528,0.872,0.347,-11.458,0.162
66.113,1.035,0.283,-11.965,0.066
66.113,1.101,0.388,-8.125,0.0
66.322,1.101,0.398,-6.913,0.076
65.904,1.176,0.527,-6.782,0.057
66.111,1.233,0.379,-3.884,0.0
65.904,1.233,0.205,-3.377,0.0
65.904,1.233,0.415,-4.746,0.036
65.904,1.27,0.37,-0.914,0.141
