robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.257,0.15,0.0,-12.252,0.0
97.029,0.15,0.0,-9.902,0.044
87.326,0.194,0.0,-10.355,0.0
77.889,0.194,0.0,-8.948,0.0
68.59,0.194,0.0,-8.328,0.071
60.628,0.266,0.0,-8.681,0.009
52.35,0.274,0.086,-10.124,0.082
42.477,0.357,0.109,-9.098,0.0
34.251,0.357,0.086,-9.531,0.0
33.103,0.357,0.131,-7.627,0.387
31.723,0.744,0.214,-14.079,0.0
31.262,0.744,0.264,0.0,0.0
32.183,0.744,0.233,-3.14,0.0
31.953,0.744,0.128,-0.869,0.0
31.953,0.744,0.253,-2.748,0.003
