robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-12.11,0.0
97.316,0.15,0.0,-9.087,0.0
87.84,0.15,0.0,-5.03,0.139
82.913,0.289,0.0,-4.624,0.047
78.65,0.336,0.0,-2.993,0.0
76.163,0.336,0.0,-1.536,0.0
75.191,0.336,0.0,0.0,0.002
75.191,0.338,0.0,-0.355,0.0
75.191,0.338,0.0,-13.573,0.197
62.332,0.536,0.043,-13.541,0.077
49.237,0.613,0.062,-12.439,0.24
37.232,0.853,0.055,-12.921,0.191
25.046,1.044,0.119,-12.702,0.076
13.356,1.12,0.048,-4.274,0.278
9.237,1.399,0.108,-1.85,0.096
