robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-9.571,0.0
98.884,0.15,0.0,-8.51,0.186
90.023,0.336,0.0,-7.201,0.001
82.913,0.337,0.0,-6.501,0.179
76.356,0.516,0.0,-4.493,0.0
72.03,0.516,0.0,-2.901,0.012
70.016,0.528,0.069,-1.585,0.121
69.61,0.649,0.0,-0.431,0.0
69.61,0.649,0.01,-5.054,0.0
65.489,0.649,0.108,-3.649,0.0
64.023,0.649,0.115,-4.643,0.139
62.757,0.789,0.045,-2.46,0.0
62.333,0.789,0.399,-1.22,0.0
62.757,0.789,0.446,-3.414,0.0
62.119,0.789,0.027,0.0,0.204
