robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-15.132,0.212
92.928,0.362,0.0,-8.667,0.0
83.454,0.362,0.0,-8.291,0.187
75.191,0.549,0.0,-6.539,0.176
68.589,0.724,0.0,-5.13,0.074
64.023,0.799,0.0,-5.481,0.106
59.339,0.905,0.119,-3.473,0.0
56.741,0.905,0.0,-1.532,0.0
56.087,0.905,0.0,0.0,0.0
56.087,0.905,0.0,0.0,0.0
56.087,0.905,0.0,-3.693,0.0
53.676,0.905,0.054,0.0,0.565
53.895,1.47,0.091,0.0,0.0
53.895,1.47,0.011,-0.121,0.024
53.895,1.493,,0.0,0.069
