robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-4.8,0.004
101.196,0.154,0.057,-5.873,0.399
95.701,0.553,0.125,-2.407,0.0
93.869,0.553,0.001,-2.717,0.0
91.652,0.553,0.0,-0.447,0.022
91.652,0.575,0.0,-1.759,0.0
90.186,0.575,0.081,-0.301,0.022
90.186,0.597,0.0,-7.129,0.147
83.454,0.743,0.04,-6.534,0.172
77.317,0.915,0.123,-4.039,0.161
73.62,1.076,0.119,-2.365,0.0
71.628,1.076,0.053,-3.619,0.0
68.587,1.076,0.098,-2.926,0.0
65.697,1.076,0.053,-2.291,0.039
63.811,1.115,0.0,-2.24,0.18
