robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-6.971,0.062
99.849,0.212,0.0,-6.848,0.106
92.773,0.318,0.0,-4.854,0.151
87.668,0.469,0.0,-2.591,0.065
85.413,0.534,0.0,-3.097,0.048
82.549,0.582,0.0,-2.741,0.0
80.154,0.582,0.0,-0.573,0.0
80.341,0.582,0.0,-1.463,0.039
79.405,0.62,0.0,-6.403,0.0
72.828,0.62,0.0,-5.358,0.134
67.15,0.754,0.0,-15.87,0.181
51.465,0.935,0.0,-12.602,0.0
39.518,0.935,0.0,-13.979,0.178
34.481,1.113,0.0,-9.525,0.132
34.481,1.246,0.0,-6.089,0.445
