robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-13.309,0.055
97.029,0.205,0.0,-8.751,0.057
89.021,0.261,0.0,-6.323,0.0
82.731,0.261,0.0,-4.219,0.0
79.028,0.261,0.0,-4.878,0.0
74.801,0.261,0.0,-1.833,0.0
74.014,0.261,0.015,-1.361,0.106
73.62,0.367,0.011,-1.304,0.0
73.222,0.367,0.0,0.0,0.323
73.222,0.69,0.0,-4.658,0.0
69.61,0.69,0.115,-6.247,0.0
65.072,0.69,0.114,-1.45,0.311
65.072,1.001,0.185,0.0,0.0
64.862,1.001,,-5.207,0.232
63.813,1.233,0.139,-7.015,0.336
