robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.596,0.15,0.0,-10.478,0.0
95.7,0.15,0.053,-7.325,0.062
89.191,0.212,0.053,-5.365,0.0
84.883,0.212,0.05,-3.648,0.0
81.635,0.212,0.023,-1.978,0.013
80.154,0.225,0.013,0.0,0.0
80.154,0.225,0.0,-0.077,0.0
80.154,0.225,0.0,-0.024,0.0
80.154,0.225,0.0,-2.071,0.022
78.839,0.248,0.0,-4.628,0.0
74.801,0.248,0.067,-2.261,0.0
73.62,0.248,0.032,-3.862,0.0
70.622,0.248,0.05,-0.209,0.078
70.622,0.325,0.0,-3.158,0.0
68.179,0.325,0.006,-2.361,0.0
