robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.257,0.15,0.0,-10.361,0.0
97.609,0.15,0.0,-7.787,0.081
88.856,0.231,0.0,-6.792,0.0
82.549,0.231,0.0,-6.607,0.0
76.548,0.231,0.0,-6.365,0.044
70.421,0.276,0.0,-7.203,0.059
63.39,0.335,0.0,-5.686,0.1
58.477,0.435,0.0,-7.79,0.022
50.798,0.457,0.0,-13.238,0.061
37.69,0.518,0.0,-7.457,0.0
29.882,0.518,0.0,-8.31,0.0
22.974,0.518,0.114,-6.822,0.344
17.007,0.861,0.073,-4.974,0.028
13.356,0.89,0.119,-4.282,0.039
10.407,0.929,0.059,-2.352,0.104
