robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-5.252,0.066
101.184,0.216,0.0,-4.074,0.02
97.031,0.236,0.0,-3.632,0.107
93.558,0.343,0.0,-3.064,0.142
90.68,0.485,0.0,-3.772,0.13
86.981,0.615,0.0,-1.799,0.079
85.412,0.694,0.064,-1.54,0.099
84.883,0.793,0.0,-1.296,0.01
84.349,0.803,0.0,-8.553,0.189
76.548,0.992,0.03,-9.663,0.0
67.15,0.992,0.106,0.0,0.249
67.15,1.241,0.011,-4.99,0.0
63.179,1.241,0.08,-10.983,0.038
53.455,1.28,0.106,-7.902,0.139
49.236,1.419,0.15,-9.026,0.099
