robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-18.344,0.0
94.793,0.15,0.0,0.0,0.0
92.928,0.15,0.0,0.0,0.0
93.403,0.15,0.0,0.0,0.0
93.559,0.15,0.0,0.0,0.0
93.559,0.15,0.0,-9.597,0.0
85.937,0.15,0.0,0.0,0.954
85.237,1.104,0.0,-2.207,0.0
83.273,1.104,0.0,-17.058,0.043
66.114,1.148,0.0,-12.571,0.085
53.676,1.232,0.0,-12.247,0.007
42.477,1.239,0.053,-8.326,0.18
35.858,1.419,0.111,-5.674,0.099
32.643,1.518,0.184,-6.161,0.039
32.643,1.557,0.268,-5.374,0.066
