robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.596,0.15,0.0,-9.939,0.0
96.146,0.15,0.031,-9.565,0.0
87.154,0.15,0.077,-9.755,0.204
77.699,0.354,0.075,-6.582,0.0
71.629,0.354,0.089,-4.235,0.0
68.179,0.354,0.038,-6.406,0.033
62.544,0.387,0.094,-5.489,0.337
58.043,0.724,0.097,-2.707,0.363
56.087,1.087,0.0,-18.87,0.098
37.919,1.185,0.088,-19.064,0.045
33.562,1.23,0.197,-15.891,0.043
33.562,1.273,0.197,-13.937,0.061
33.332,1.334,0.197,-14.682,0.043
32.871,1.377,0.197,-12.837,0.099
32.871,1.476,0.197,-12.254,0.051
