robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,1.782,0.0,-6.317,0.074
99.442,1.856,0.039,-6.424,0.0
93.243,1.856,0.085,-3.995,0.0
89.191,1.856,0.02,-2.932,0.0
86.809,1.856,0.053,-2.749,0.0
84.349,1.856,0.0,-1.068,0.0
83.992,1.856,0.0,-1.767,0.021
83.091,1.877,0.034,-1.554,0.0
82.183,1.877,0.06,-11.375,0.0
71.026,1.877,0.076,-11.197,0.0
59.983,1.877,0.051,-9.338,0.0
51.241,1.877,0.075,-6.892,0.0
45.194,1.877,0.073,-5.406,0.0
42.478,1.877,0.083,-5.34,0.0
41.568,1.877,0.73,-3.805,0.014
