robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-9.739,0.269
96.146,0.419,0.075,-5.747,0.073
90.843,0.492,0.101,-4.32,0.0
86.981,0.492,0.175,-3.351,0.0
83.992,0.492,0.073,-2.951,0.159
81.635,0.651,0.097,-1.196,0.113
80.895,0.764,0.0,-1.368,0.0
80.154,0.764,0.0,0.0,0.015
80.154,0.78,0.0,0.0,0.544
80.154,1.324,0.0,-4.991,0.398
75.578,1.722,0.138,-3.944,0.0
72.03,1.722,0.105,0.0,0.042
72.03,1.764,0.0,0.0,0.095
72.03,1.858,0.0,-4.974,0.181
67.563,2.039,0.099,-3.017,0.147
64.862,2.186,0.011,-4.029,0.0
61.055,2.186,0.097,-22.652,0.0
39.518,2.186,0.075,-15.471,0.0
35.17,2.186,0.167,-12.359,0.0
34.94,2.186,0.204,-6.8,0.0
