robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-17.724,0.0
94.946,0.15,0.0,-3.65,2.129
90.68,2.279,0.0,0.0,3.671
90.68,5.95,0.0,0.0,0.467
90.68,6.416,0.0,-7.333,1.671
82.913,8.088,0.0,-14.407,0.368
68.385,8.455,0.0,-26.399,0.0
41.796,8.455,0.0,-2.724,0.372
39.746,8.828,0.0,-3.832,0.0
36.545,8.828,0.0,-5.602,0.0
32.183,8.828,0.0,-9.453,0.0
27.348,8.828,0.715,-3.392,0.158
26.888,8.986,3.848,-2.79,0.127
27.118,9.113,3.285,-3.42,0.0
26.658,9.113,2.269,-0.164,0.0
