robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-12.069,0.0
97.173,0.15,0.0,-7.021,0.023
89.691,0.173,0.0,-2.233,0.057
87.668,0.231,0.0,-3.533,0.0
84.706,0.231,0.0,-1.043,0.0
84.172,0.231,0.0,-0.062,0.0
84.172,0.231,0.0,0.0,0.0
84.172,0.231,0.0,0.0,0.0
84.172,0.231,0.0,-13.09,0.0
73.22,0.231,0.0,-13.407,0.16
59.34,0.39,0.0,-12.332,0.0
52.347,0.39,0.101,-12.319,0.018
51.232,0.408,0.161,-7.328,0.205
49.438,0.614,0.212,-5.205,0.078
49.443,0.691,0.168,-8.044,0.113
