robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-19.052,0.049
94.025,0.199,0.0,-19.499,0.0
78.641,0.199,0.0,-18.208,0.029
62.314,0.228,0.0,-14.821,0.013
50.346,0.241,0.0,-16.382,0.12
39.056,0.361,0.0,-13.718,0.0
38.598,0.361,0.178,-15.079,0.0
38.598,0.361,0.178,-14.943,0.0
38.598,0.361,0.159,-6.165,0.017
38.598,0.378,0.182,-5.79,0.054
38.368,0.432,0.206,-3.644,0.042
38.37,0.474,0.126,-3.757,0.0
38.37,0.474,0.118,-2.88,0.0
38.37,0.474,0.037,-2.443,0.0
38.375,0.474,0.096,-1.92,0.054
