robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-8.748,0.0
99.439,0.15,0.0,-8.071,0.0
91.815,0.15,0.0,-4.047,0.151
87.668,0.301,0.0,-11.647,0.004
79.204,0.305,0.0,-9.062,0.0
69.813,0.305,0.0,0.0,0.0
69.813,0.305,,-3.352,0.329
67.15,0.634,0.0,-7.462,0.03
61.482,0.664,0.094,-10.805,0.23
60.841,0.894,0.295,-10.323,0.182
60.841,1.076,0.433,-6.929,0.0
60.627,1.076,0.315,-7.078,0.242
60.627,1.318,0.272,-9.446,0.18
60.627,1.498,0.489,-3.547,0.114
60.627,1.612,0.156,-5.551,0.0
