robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-10.548,0.323
95.247,0.473,0.109,-12.897,0.199
82.731,0.671,0.093,-3.195,0.106
80.154,0.777,0.0,-12.536,0.842
68.385,1.619,0.119,-6.291,0.02
62.333,1.639,0.093,-5.354,0.0
58.043,1.639,0.108,-9.86,0.289
49.238,1.928,0.055,-6.372,0.193
43.385,2.121,0.124,0.0,0.224
43.611,2.345,0.0,-3.057,0.0
40.658,2.345,0.021,0.0,0.08
40.658,2.425,0.0,0.0,0.154
40.658,2.579,0.0,0.0,0.045
40.658,2.624,0.0,0.0,0.208
40.658,2.831,0.0,0.0,0.0
