robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.257,0.15,0.0,-2.631,0.0
103.112,0.15,0.0,-6.803,0.0
97.32,0.15,0.0,-23.069,0.0
82.367,0.15,0.0,-8.319,0.158
74.014,0.308,0.0,-9.908,0.492
65.28,0.8,0.0,-12.425,0.0
64.233,0.8,0.221,-5.964,0.0
64.023,0.8,0.171,-1.918,0.0
64.233,0.8,0.213,-12.549,0.218
63.39,1.018,0.206,-12.406,0.073
63.39,1.091,0.47,-12.945,0.085
62.968,1.176,0.352,-11.918,0.04
62.757,1.216,0.538,-11.092,0.048
62.757,1.263,0.411,-8.355,0.06
62.544,1.323,0.422,-7.082,0.127
