robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-5.974,0.073
100.653,0.223,0.0,-3.658,0.238
96.444,0.461,0.0,-2.525,0.0
94.023,0.461,0.0,-2.723,0.0
91.494,0.461,0.0,-10.766,0.0
81.083,0.461,0.0,-11.043,0.169
70.219,0.63,0.0,-10.09,0.001
60.413,0.631,0.0,-11.135,0.056
49.684,0.687,0.0,-9.285,0.171
40.43,0.857,0.0,-8.371,0.257
32.183,1.115,0.0,-8.685,0.026
24.585,1.14,0.063,-8.253,0.124
17.465,1.623,0.01,-1.938,0.0
16.093,1.623,0.0,0.0,0.0
16.093,1.623,0.01,-0.41,0.0
